"Longitude","Latitude","Parameter.Name","level"
-157.871171,21.303382,"ozone",0.026346
-158.088613,21.323745,"ozone",0.032224
-80.326811,25.586384,"ozone",0.033754
-80.161806,25.733378,"ozone",0.034725
-97.493836,25.892503,"ozone",0.032098
-80.33845,26.073536,"ozone",0.030966
-80.111,26.087,"ozone",0.031794
-97.712681,26.200256,"ozone",0.036021
-98.29107,26.226226,"ozone",0.030703
-81.711,26.27,"ozone",0.033218
-80.09647,26.292025,"ozone",0.030328
-81.939444,26.448889,"ozone",0.034758
-81.98,26.547861,"ozone",0.035824
-80.060867,26.59123,"ozone",0.034965
-80.233889,26.730833,"ozone",0.036413
-82.362583,27.089194,"ozone",0.036674
-81.340556,27.188889,"ozone",0.033675
-82.570556,27.306944,"ozone",0.039453
-82.48,27.350278,"ozone",0.036381
-82.522222,27.449444,"ozone",0.035421
-82.618889,27.480556,"ozone",0.035796
-99.52029,27.511267,"ozone",0.033327
-82.546111,27.632778,"ozone",0.032117
-82.465146,27.740033,"ozone",0.039897
-97.434247,27.765335,"ozone",0.035259
-82.739875,27.785866,"ozone",0.039053
-97.555395,27.832408,"ozone",0.034114
-80.4554,27.8492,"ozone",0.038971
-82.538611,27.892222,"ozone",0.039718
-82.454722,27.928056,"ozone",0.039259
-82.000278,27.939444,"ozone",0.036759
-82.731944,27.946389,"ozone",0.03909
-82.2304,27.96565,"ozone",0.041825
-81.972222,28.028889,"ozone",0.036119
-80.628611,28.053611,"ozone",0.037012
-82.700833,28.09,"ozone",0.035946
-82.758056,28.195,"ozone",0.039614
-80.615556,28.310556,"ozone",0.03746
-82.305833,28.331944,"ozone",0.037603
-81.636667,28.347222,"ozone",0.038811
-81.381389,28.454167,"ozone",0.037583
-81.723333,28.525,"ozone",0.036875
-81.3625,28.596389,"ozone",0.037481
-81.310556,28.746111,"ozone",0.037598
-97.005534,28.836165,"ozone",0.033018
-95.472946,29.043759,"ozone",0.034102
-80.993889,29.108889,"ozone",0.035159
-82.100833,29.170278,"ozone",0.037224
-82.173333,29.1925,"ozone",0.034237
-81.0525,29.206667,"ozone",0.036889
-94.861289,29.254474,"ozone",0.036023
-98.311692,29.275381,"ozone",0.040829
-103.16782,29.3025,"ozone",0.045864
-81.276833,29.489083,"ozone",0.036602
-98.620166,29.51509,"ozone",0.045352
-95.392509,29.520443,"ozone",0.03809
-82.296111,29.544722,"ozone",0.034716
-95.015544,29.583047,"ozone",0.035812
-95.473611,29.623611,"ozone",0.036517
-95.2675,29.625833,"ozone",0.034865
-98.564936,29.632058,"ozone",0.048916
-95.128508,29.670025,"ozone",0.035296
-95.294722,29.686389,"ozone",0.035482
-95.499262,29.695744,"ozone",0.036754
-95.503611,29.724722,"ozone",0.036287
-93.894,29.728,"ozone",0.036158
-95.257593,29.733726,"ozone",0.032232
-95.350278,29.752778,"ozone",0.033509
-95.081386,29.761653,"ozone",0.03257
-90.765183,29.763889,"ozone",0.037158
-95.220587,29.767971,"ozone",0.035776
-95.125495,29.802707,"ozone",0.033731
-94.983786,29.823319,"ozone",0.037357
-95.284096,29.828086,"ozone",0.034663
-95.489167,29.834722,"ozone",0.037346
-94.3178,29.863953,"ozone",0.037501
-93.955,29.865,"ozone",0.031401
-93.9911,29.8975,"ozone",0.035611
-95.326125,29.901037,"ozone",0.036319
-89.92388,29.93961,"ozone",0.03927
-94.000556,29.9425,"ozone",0.034582
-94.010872,29.978924,"ozone",0.037734
-90.410556,29.984167,"ozone",0.034293
-90.82,29.994444,"ozone",0.035936
-90.102778,29.994444,"ozone",0.03651
-94.071091,30.03644,"ozone",0.037443
-95.6739,30.039534,"ozone",0.037137
-90.275091,30.043573,"ozone",0.038872
-90.608333,30.058333,"ozone",0.039761
-93.761341,30.085263,"ozone",0.035263
-84.161111,30.0925,"ozone",0.037283
-84.9903,30.1103,"ozone",0.034284
-85.731517,30.130433,"ozone",0.039226
-93.371944,30.143333,"ozone",0.037173
-82.619167,30.178056,"ozone",0.035712
-93.866944,30.194167,"ozone",0.037418
-82.441111,30.201111,"ozone",0.03589
-91.129948,30.206985,"ozone",0.03917
-92.051389,30.2175,"ozone",0.038978
-91.316111,30.220556,"ozone",0.035036
-93.578333,30.227778,"ozone",0.038763
-90.968333,30.233889,"ozone",0.036033
-81.454,30.261,"ozone",0.037627
-93.284167,30.261667,"ozone",0.035107
-89.395916,30.300833,"ozone",0.040824
-90.8125,30.3125,"ozone",0.041527
-95.425128,30.350302,"ozone",0.041906
-97.760254,30.354419,"ozone",0.043198
-87.270967,30.36805,"ozone",0.041473
-81.8409,30.378217,"ozone",0.036918
-88.53393,30.378287,"ozone",0.04206
-89.049778,30.390369,"ozone",0.041204
-87.008033,30.394133,"ozone",0.039608
-91.181996,30.419763,"ozone",0.037657
-86.666217,30.426533,"ozone",0.038013
-90.199683,30.429304,"ozone",0.038634
-84.346389,30.439722,"ozone",0.03632
-91.17922,30.46198,"ozone",0.035533
-88.14114,30.474674,"ozone",0.039444
-81.587339,30.477725,"ozone",0.032105
-97.872301,30.483168,"ozone",0.043515
-84.199444,30.484444,"ozone",0.036037
-87.881412,30.498001,"ozone",0.039263
-91.213556,30.500643,"ozone",0.033192
-87.20355,30.525367,"ozone",0.039062
-91.366172,30.681736,"ozone",0.040755
-91.056135,30.700921,"ozone",0.038483
-94.6742,30.7017,"ozone",0.038033
-88.087526,30.769941,"ozone",0.03735
-85.603889,30.848611,"ozone",0.0368
-97.679734,31.088002,"ozone",0.046943
-97.431052,31.122419,"ozone",0.040037
-81.495881,31.169735,"ozone",0.035649
-85.423117,31.190657,"ozone",0.037398
-97.070684,31.653068,"ozone",0.044545
-106.288,31.6675,"ozone",0.04026
-106.402784,31.746743,"ozone",0.036887
-106.45522,31.765698,"ozone",0.042025
-106.50126,31.768291,"ozone",0.044397
-106.323578,31.785769,"ozone",0.039554
-106.682778,31.787778,"ozone",0.052708
-106.5575,31.795833,"ozone",0.040372
-106.583889,31.796111,"ozone",0.044835
-110.99644,31.87952,"ozone",0.047086
-106.425814,31.893913,"ozone",0.043435
-106.630556,31.930556,"ozone",0.043967
-84.081059,31.954298,"ozone",0.038249
-96.399138,32.03194,"ozone",0.045471
-106.409167,32.041111,"ozone",0.04914
-110.774357,32.04767,"ozone",0.046412
-81.048769,32.06923,"ozone",0.036574
-109.467589,32.117069,"ozone",0.049583
-110.980115,32.173,"ozone",0.044342
-110.737116,32.174538,"ozone",0.048383
-96.87018,32.175428,"ozone",0.044033
-104.4406,32.1783,"ozone",0.051745
-110.878067,32.204411,"ozone",0.042751
-107.7227,32.2558,"ozone",0.049471
-110.9823,32.29515,"ozone",0.044314
-106.767778,32.3175,"ozone",0.045543
-90.182722,32.329111,"ozone",0.039959
-95.415752,32.344008,"ozone",0.045231
-97.436748,32.353593,"ozone",0.046374
-88.277954,32.362706,"ozone",0.034717
-88.731491,32.364565,"ozone",0.036913
-94.711811,32.378682,"ozone",0.044432
-104.262222,32.38,"ozone",0.04755
-111.12716,32.38082,"ozone",0.044516
-90.1412,32.385731,"ozone",0.038906
-86.256367,32.40712,"ozone",0.039188
-111.06352,32.425261,"ozone",0.045863
-97.803539,32.442305,"ozone",0.046004
-85.083841,32.467971,"ozone",0.040061
-97.026922,32.482082,"ozone",0.046567
-86.136587,32.498567,"ozone",0.038545
-111.308056,32.508306,"ozone",0.04963
-92.046093,32.509713,"ozone",0.035184
-84.944795,32.521302,"ozone",0.039045
-93.74891,32.53626,"ozone",0.043992
-116.937772,32.552164,"ozone",0.035332
-96.317677,32.564952,"ozone",0.046223
-117.059075,32.631231,"ozone",0.039744
-97.088583,32.656372,"ozone",0.042637
-94.167457,32.668987,"ozone",0.044527
-115.484144,32.676186,"ozone",0.048137
-93.859722,32.676389,"ozone",0.04411
-96.87206,32.676451,"ozone",0.04282
-114.61444,32.690278,"ozone",0.050862
-108.124444,32.691944,"ozone",0.043532
-117.149653,32.701492,"ozone",0.031757
-116.365203,32.725226,"ozone",0.010282
-103.122917,32.726656,"ozone",0.040653
-116.942092,32.791194,"ozone",0.042799
-115.56306,32.79222,"ozone",0.049523
-83.543521,32.805408,"ozone",0.040555
-97.356568,32.805818,"ozone",0.047357
-96.860082,32.819952,"ozone",0.047275
-116.768225,32.842242,"ozone",0.052399
-117.123894,32.845467,"ozone",0.042596
