"Longitude","Latitude","Parameter.Name","Date","level"
-80.48278,25.47194,"pm25",2014-01-01,4.9
-80.23389,26.73083,"pm25",2014-01-01,4.2
-82.73987,27.78587,"pm25",2014-01-01,8.9
-82.2304,27.96565,"pm25",2014-01-01,7.9
-81.3625,28.59639,"pm25",2014-01-01,6.5
-95.25759,29.73373,"pm25",2014-01-01,14.2
-90.27509,30.04357,"pm25",2014-01-01,27.9
-81.63417,30.13556,"pm25",2014-01-01,9.8
-91.31611,30.22056,"pm25",2014-01-01,16.3
-81.54778,30.35472,"pm25",2014-01-01,10.2
-81.6354,30.35634,"pm25",2014-01-01,12.2
-91.17922,30.46198,"pm25",2014-01-01,19.35
-91.21356,30.50064,"pm25",2014-01-01,18.7
-84.10019,31.57692,"pm25",2014-01-01,11.9
-110.9823,32.29515,"pm25",2014-01-01,20.4
-115.48414,32.67619,"pm25",2014-01-01,38.7
-117.14965,32.70149,"pm25",2014-01-01,36.7
-79.95869,32.79098,"pm25",2014-01-01,9.3
-116.94209,32.79119,"pm25",2014-01-01,35.7
-96.86008,32.81995,"pm25",2014-01-01,9.3
-112.07533,33.40316,"pm25",2014-01-01,101.7
-111.86507,33.41045,"pm25",2014-01-01,42.9
-111.93473,33.4124,"pm25",2014-01-01,44
-112.11814,33.4265,"pm25",2014-01-01,56.4
-112.14257,33.48385,"pm25",2014-01-01,170.7
-86.815,33.55306,"pm25",2014-01-01,14.3
-112.06626,33.56033,"pm25",2014-01-01,33.9
-112.19196,33.57454,"pm25",2014-01-01,50
-84.29048,33.68797,"pm25",2014-01-01,22.6
-97.2759,33.88081,"pm25",2014-01-01,10.5
-81.02414,33.99151,"pm25",2014-01-01,28.6
-118.86944,34.20824,"pm25",2014-01-01,17.6
-119.1425,34.25324,"pm25",2014-01-01,10.6
-118.68473,34.27574,"pm25",2014-01-01,11.2
-77.83861,34.36417,"pm25",2014-01-01,11
-118.81,34.40285,"pm25",2014-01-01,0.3
-119.8284,34.44551,"pm25",2014-01-01,14.2
-119.23028,34.44657,"pm25",2014-01-01,5.6
-98.42879,34.63298,"pm25",2014-01-01,12
-92.2813,34.75619,"pm25",2014-01-01,12.9
-82.41459,34.8439,"pm25",2014-01-01,34.2
-95.78437,34.90227,"pm25",2014-01-01,11.6
-77.96078,34.95482,"pm25",2014-01-01,5.7
-120.56388,35.02083,"pm25",2014-01-01,12.5
-120.5843,35.03331,"pm25",2014-01-01,19.1
-79.83661,35.26249,"pm25",2014-01-01,8
-97.4841,35.3201,"pm25",2014-01-01,11.8
-119.04121,35.35609,"pm25",2014-01-01,84.3
-77.99389,35.36921,"pm25",2014-01-01,13.7
-79.2887,35.4325,"pm25",2014-01-01,10.6
-83.4437,35.43551,"pm25",2014-01-01,20.6
-120.66804,35.49158,"pm25",2014-01-01,35.7
-97.47508,35.61413,"pm25",2014-01-01,9.3
-94.6697,35.75073,"pm25",2014-01-01,10.4
-115.35705,35.78567,"pm25",2014-01-01,2.9
-76.89782,35.81069,"pm25",2014-01-01,11.9
-78.57417,35.85611,"pm25",2014-01-01,18.6
-84.51713,35.88982,"pm25",2014-01-01,18.7
-84.49709,35.90712,"pm25",2014-01-01,15.3
-84.50362,35.91676,"pm25",2014-01-01,13.8
-84.51657,35.9255,"pm25",2014-01-01,12.7
-96.00498,35.95371,"pm25",2014-01-01,12.2
-115.05288,36.04874,"pm25",2014-01-01,16.1
-115.07873,36.14189,"pm25",2014-01-01,53.3
-115.11392,36.16396,"pm25",2014-01-01,68.2
-115.12293,36.19126,"pm25",2014-01-01,49.4
-95.97654,36.2049,"pm25",2014-01-01,11.75
-121.12637,36.20929,"pm25",2014-01-01,8.7
-79.46742,36.30703,"pm25",2014-01-01,9
-121.73157,36.49577,"pm25",2014-01-01,7.4
-87.32805,36.51471,"pm25",2014-01-01,6.9
-121.63718,36.69676,"pm25",2014-01-01,17.2
-97.08132,36.69727,"pm25",2014-01-01,10.8
-119.77417,36.78532,"pm25",2014-01-01,94.6
-76.18123,36.84188,"pm25",2014-01-01,18.2
-121.36212,36.8441,"pm25",2014-01-01,19.3
-97.345,36.93997,"pm25",2014-01-01,14.6
-121.98933,36.98392,"pm25",2014-01-01,12.9
-121.57468,36.99957,"pm25",2014-01-01,21.7
-122.07569,37.04801,"pm25",2014-01-01,49.6
-119.69907,37.2136,"pm25",2014-01-01,20.2
-79.88452,37.28342,"pm25",2014-01-01,7.1
-121.8949,37.3485,"pm25",2014-01-01,60.4
